"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"10909","火箭队(#4)","行政办公(#167)","","以文档格式导出查询结果","","1. 点击“行政办公-投票”
2. 输入查询的主题“01”和截止时间“2018.9.10-2018.9.11”
3. 点击导出查询列表，选择文档格式文件
","1. 界面跳转至投票界面
2. 设定查询限制条件
3. 导出查询列表的文档文件
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-12-04","刘宸","2018-12-05","2","",""
"10901","火箭队(#4)","行政办公(#167)","","以表格格式导出查询投票列表结果","已发起投票","1. 点击“行政办公-投票”
2. 输入查询的主题“01”和截止时间“2018.9.10-2018.9.11“
3. 点击导出查询列表，选择表格格式
","1. 界面跳转至投票界面
2. 设定查询限制条件
3. 导出查询列表的表格文件
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-12-04","刘宸","2018-12-05","2","",""
"10831","火箭队(#4)","行政办公(#167)","","在主题输入框内不输入内容，查询已发起投票","已登录投票","1. 点击“行政办公-投票
2. 在标题输入框内不输入内容
3. 点击查询
","1. 进入行政办公的投票界面
2. 设置查询的投票主题
3. 页面列出所有我参与的投票
","","","3","功能测试","","正常","0","1","3","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10761","火箭队(#4)","行政办公(#167)","","填写全部选项，设置20个选项为发起投票","已登录用户","1. 点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“05“ 
3. 添加写描述信息
4. 选择投票人员 
5. 选择投票的截止日期
6. 设置20个投票选项
7. 	
点击保存
","1. 进入行政办公的投票界面
2. 投票主题设置为05
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止日期
6. 投票活动已添加投票选项
7. 发起投票失败，页面提示：不能设置超过10个选项
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10758","火箭队(#4)","行政办公(#167)",""," 填写全部选项，设置数字选项发起投票","已登录用户","1. 点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“05“ 
3. 添加写描述信息
4. 选择投票人员 
5. 选择投票的截止日期
6. 设置数字投票选项
7. 点击保存
","1. 进入行政办公的投票界面
2. 投票主题设置为05
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止日期
6. 投票活动已添加投票选项
7. 发起投票成功，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10755","火箭队(#4)","行政办公(#167)","","填写全部选项，设置中文选项为发起投票","已登录用户","1. 点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“05“ 
3. 添加写描述信息
4. 选择投票人员 
5. 选择投票的截止日期
6. 设置中文投票选项
7. 点击保存
","1. 进入行政办公的投票界面
2. 投票主题设置为05
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止日期
6. 投票活动已添加投票选项
7. 发起投票成功，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","","0000-00-00","1","",""
"10747","火箭队(#4)","行政办公(#167)","","填写全部选项，选择公司外部人员发起投票","已登录用户","1. 点击“行政办公-投票-发起投票 
2. ”在投票列表的主题输入框输入“04“ 
3. 添加写描述信息
4. 选择投票的截止日期 
5. 设置投票选项
6. 选择公司外部人员为投票人员
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为04
3. 投票活动已添加描述信息
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 投票活动已添加公司外部人员
7. 发起投票失败，页面提示：投票人员不能为公司外部人员
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
"10739","火箭队(#4)","行政办公(#167)",""," 填写全部选项，描述信息输入1000个字符发起投票","已登录用户","1. 点击“行政办公-投票-发起投票”
2. 投票列表的主题输入框输入“03“
3. 	
选择投票人员
4. 选择投票的截止日期 
5. 	
设置投票选项 
6. 在描述选项栏输入1000个字符
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为03
3. 投票活动已添加投票人员
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 投票活动已添加描述
7. 成功发起以03为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
"10734","火箭队(#4)","行政办公(#167)","","填写全部选项，描述信息输入一个字符发起投票","已登录用户","1. 	
点击“行政办公-投票-发起投票”
2. 投票列表的主题输入框输入“02“
3. 	
选择投票人员
4. 选择投票的截止日期 
5. 设置投票选项 
6. 在描述选项栏输入“一”
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为02
3. 投票活动已添加投票人员
4. 投票活动已添加截止日期
5. 投票活动已添加投票选项
6. 投票活动已添加描述
7. 成功发起以02为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
"10725","火箭队(#4)","行政办公(#167)","","填写全部选项，主题为中文发起投票","已登录用户","1. 	
点击“行政办公-投票-发起投票” 
2. 在投票列表的主题输入框输入“一“ 
3. 添加写描述信息
4. 选择投票人员
5. 	
选择投票的截止日期 
6. 	
设置投票选项 
7. 点击保存
","1. 进入行政办公的投票界面
2. 设置投票主题为一
3. 投票活动已添加描述信息
4. 投票活动已添加投票人员
5. 投票活动已添加截止时间
6. 投票活动已设置投票选项
7. 成功发起以一为主题的投票活动，页面提示：投票信息操作成功
","","","3","功能测试","","正常","0","1","7","通过","刘宸","2018-12-04","刘宸","2018-12-04","1","",""
